layers, cross_val_score, training_score, testing_score
1,0.807409665631, 0.807408882693, 0.795074349442
2,0.80760926643, 0.807408882693, 0.794609665428
3,0.803824790836, 0.807608046206, 0.791356877323
4,0.800437533525, 0.808404700259, 0.790892193309
5,0.803225986859, 0.809201354312, 0.788568773234
6,0.802629962999, 0.808006373232, 0.786710037175
7,0.804222004377, 0.808603863772, 0.789962825279
8,0.803625186875, 0.808205536746, 0.792286245353
9,0.803028770147, 0.809798844852, 0.793215613383
10,0.806016428249, 0.807408882693, 0.792286245353
11,0.80522040598, 0.807807209719, 0.791356877323
12,0.806810863236, 0.807408882693, 0.795074349442
13,0.806810863236, 0.80661222864, 0.792286245353
14,0.807210064833, 0.807408882693, 0.795074349442
15,0.807409665631, 0.807408882693, 0.795074349442
16,0.807210462444, 0.807408882693, 0.795074349442
17,0.807409665631, 0.807408882693, 0.795074349442
18,0.807409665631, 0.807408882693, 0.795074349442
19,0.80760926643, 0.807408882693, 0.795074349442
20,0.807409665631, 0.807408882693, 0.795074349442
21,0.807409665631, 0.807408882693, 0.795074349442
22,0.807409665631, 0.807408882693, 0.795074349442
23,0.807409665631, 0.807408882693, 0.795074349442
24,0.807409665631, 0.807408882693, 0.795074349442
25,0.807409665631, 0.807408882693, 0.795074349442
26,0.807409665631, 0.807408882693, 0.795074349442
27,0.807409665631, 0.807408882693, 0.795074349442
28,0.807409665631, 0.807408882693, 0.795074349442
29,0.807409665631, 0.807408882693, 0.795074349442
30,0.807409665631, 0.807408882693, 0.795074349442
31,0.807409665631, 0.807408882693, 0.795074349442
32,0.807409665631, 0.807408882693, 0.795074349442
33,0.807409665631, 0.807408882693, 0.795074349442
34,0.807409665631, 0.807408882693, 0.795074349442
35,0.807409665631, 0.807408882693, 0.795074349442
36,0.807409665631, 0.807408882693, 0.795074349442
37,0.807409665631, 0.807408882693, 0.795074349442
38,0.807409665631, 0.807408882693, 0.795074349442
39,0.807409665631, 0.807408882693, 0.795074349442
40,0.807409665631, 0.807408882693, 0.795074349442
41,0.807409665631, 0.807408882693, 0.795074349442
42,0.807409665631, 0.807408882693, 0.795074349442
43,0.807409665631, 0.807408882693, 0.795074349442
44,0.807409665631, 0.807408882693, 0.795074349442
45,0.807409665631, 0.807408882693, 0.795074349442
46,0.807409665631, 0.807408882693, 0.795074349442
47,0.807409665631, 0.807408882693, 0.795074349442
48,0.807409665631, 0.807408882693, 0.795074349442
49,0.807409665631, 0.807408882693, 0.795074349442
50,0.807409665631, 0.807408882693, 0.795074349442
51,0.807409665631, 0.807408882693, 0.795074349442
52,0.807409665631, 0.807408882693, 0.795074349442
53,0.807409665631, 0.807408882693, 0.795074349442
54,0.807409665631, 0.807408882693, 0.795074349442
55,0.807409665631, 0.807408882693, 0.795074349442
56,0.807409665631, 0.807408882693, 0.795074349442
57,0.807409665631, 0.807408882693, 0.795074349442
58,0.807409665631, 0.807408882693, 0.795074349442
59,0.807409665631, 0.807408882693, 0.795074349442
60,0.807409665631, 0.807408882693, 0.795074349442
61,0.807409665631, 0.807408882693, 0.795074349442
62,0.807409665631, 0.807408882693, 0.795074349442
63,0.807409665631, 0.807408882693, 0.795074349442
64,0.807409665631, 0.807408882693, 0.795074349442
65,0.807409665631, 0.807408882693, 0.795074349442
66,0.807409665631, 0.807408882693, 0.795074349442
67,0.807409665631, 0.807408882693, 0.795074349442
68,0.807409665631, 0.807408882693, 0.795074349442
69,0.807409665631, 0.807408882693, 0.795074349442
70,0.807409665631, 0.807408882693, 0.795074349442
71,0.807409665631, 0.807408882693, 0.795074349442
72,0.807409665631, 0.807408882693, 0.795074349442
73,0.807409665631, 0.807408882693, 0.795074349442
74,0.807409665631, 0.807408882693, 0.795074349442
75,0.807409665631, 0.807408882693, 0.795074349442
76,0.807409665631, 0.807408882693, 0.795074349442
77,0.807409665631, 0.807408882693, 0.795074349442
78,0.807409665631, 0.807408882693, 0.795074349442
79,0.807409665631, 0.807408882693, 0.795074349442
80,0.807409665631, 0.807408882693, 0.795074349442
81,0.807409665631, 0.807408882693, 0.795074349442
82,0.807409665631, 0.807408882693, 0.795074349442
83,0.807409665631, 0.807408882693, 0.795074349442
84,0.807409665631, 0.807408882693, 0.795074349442
85,0.807409665631, 0.807408882693, 0.795074349442
86,0.807409665631, 0.807408882693, 0.795074349442
87,0.807409665631, 0.807408882693, 0.795074349442
88,0.807409665631, 0.807408882693, 0.795074349442
89,0.807409665631, 0.807408882693, 0.795074349442
90,0.807409665631, 0.807408882693, 0.795074349442
91,0.807409665631, 0.807408882693, 0.795074349442
92,0.807409665631, 0.807408882693, 0.795074349442
93,0.807409665631, 0.807408882693, 0.795074349442
94,0.807409665631, 0.807408882693, 0.795074349442
95,0.807409665631, 0.807408882693, 0.795074349442
96,0.807409665631, 0.807408882693, 0.795074349442
97,0.807409665631, 0.807408882693, 0.795074349442
98,0.807409665631, 0.807408882693, 0.795074349442
99,0.807409665631, 0.807408882693, 0.795074349442
100,0.807409665631, 0.807408882693, 0.795074349442
