Iterations,Value Iteration,Policy Iteration,Q-learning (0.1 E),Q-learning (0.1 Boltz),Q-learning (0.5 E),Q-learning (0.5 Boltz),Q-learning (Random)
1,345620,380540,249,325,142,150,28
2,7890,352400,68,259,33,149,210
3,228,8645,130,88,398,179,369
4,28,702,227,591,141,206,134
5,9,67,317,168,78,133,33
6,10,19,207,252,496,121,158
7,11,16,49,23,260,457,254
8,14,11,75,195,42,514,178
9,12,14,48,12,48,65,71
10,11,9,103,244,139,284,45
11,9,12,54,120,20,25,40
12,9,11,32,85,50,49,81
13,12,11,216,138,58,78,109
14,11,18,13,71,28,26,75
15,11,9,12,14,64,160,106
16,14,18,93,11,28,21,150
17,9,12,34,15277,81,235,66
18,17,9,43,1772,31,76,15
19,13,11,599,22,17,650,49
20,12,20,10,19,42,95,89
21,15,11,26,13,85,46,48
22,11,12,25,74,17,14397,112
23,9,14,153,21,150,19,201
24,9,17,14,55,50,856,19
25,9,12,12,103,24,48,273
26,12,11,17,32,43,29,59
27,12,9,35,64,24,45,49
28,11,16,130,363,18,1273,142
29,9,10,103,57,16,40,246
30,11,10,82,76,24,37,332
31,12,12,12,77,98,181,66
32,9,12,13,24,53,90,263
33,17,10,45,25100,180,30,26
34,10,12,16,3007,112,36,320
35,17,12,77,111,60,73,132
36,12,11,60,28,43,67,154
37,9,14,232,235,26,37,69
38,31,14,20,180,15,231,170
39,20,9,15,303,139,9192,65
40,14,14,16,123575,153,775,134
41,15,9,59,34,40,1306,82
42,15,18,21,239,34,11,30
43,18,12,37,121,19,51,63
44,9,9,11,1691,74,493,25
45,10,16,22,22129,40,14,76
46,12,10,22,23,81,838,110
47,16,9,16,75,13,2070,57
48,13,15,13,21,69,767,102
49,16,13,68,37,23,119,40
50,11,12,10,10384,34,143,20
51,11,14,119,24,31,119,62
52,13,9,19,14014,168,3462,224
53,11,13,17,4930,89,2591,21
54,19,16,15,59,36,195,104
55,13,16,12,133,21,249,69
56,19,22,98,59852,123,37,82
57,11,15,60,32,14,3015,41
58,11,14,36,151,35,166,44
59,12,10,9,15,227,1097,35
60,13,15,24,3632,16,768,86
61,9,15,10,1190,59,86,48
62,9,9,96,102,19,69,43
63,12,11,13,152,47,13,51
64,10,11,15,771,33,130,118
65,13,10,740,34657,24,175,165
66,13,9,14,153,35,307,214
67,16,10,23,98,41,713,120
68,18,13,17,19,17,3767,42
69,18,10,16,95,20,1014,129
70,10,11,993,7504,23,38,289
71,12,9,12,57,46,3590,108
72,12,10,30,11081,16,144,167
73,10,10,46,199,24,537,87
74,15,12,33,21,21,25495,356
75,14,9,39,901,16,383,332
76,9,13,36,18246,34,23,46
77,11,12,20,151,166,35,134
78,12,14,13,43,20,1534,22
79,10,9,11,130,27,91,30
80,13,13,193,310,51,13463,191
81,11,14,12,9,16,60,154
82,10,13,319,40,12,79,64
83,19,14,16,689,80,48,47
84,16,10,62,58,22,189,132
85,10,10,16,79,23,1324,37
86,12,13,16,101,37,72,160
87,11,9,26,59,34,339,212
88,13,9,74,292,83,211,83
89,13,11,14,163,71,642,92
90,12,9,12,138,147,115,197
91,13,12,15,3190,23,5521,28
92,11,11,13,58,22,164,294
93,9,11,15,598,22,392,57
94,12,15,193,19,115,518,186
95,12,9,36,215,39,234,256
96,16,15,10,44,139,81,128
97,12,11,18,46519,52,32922,40
98,9,15,11,82,29,67,105
99,10,11,49,1054,29,99,483
100,10,13,220,1476,36,1630,107
