Iterations,Value Iteration Rewards,Policy Iteration Rewards,Q Learning Rewards (0.1 E),Q Learning Rewards (0.5 E),Q Learning Rewards (Random),Q Learning Rewards (0.1 Boltz),Q Learning Rewards (0.5 Boltz)
1,-134454,-7600,-180346,-670635,-3201851,-390277,-360836
2,6281,-177211,9601,-400411,-3742197,-60097,-180632
3,8202,-58465,-20106,-150399,-910456,9771,9736
4,4247,-25165,-60163,-400366,-2881496,9628,-120
5,4682,-12649,-40131,9727,-2531215,9537,9636
6,8998,-6184,9894,9729,9369,-30567,-21328
7,7601,197,9724,-450126,-312078,-30732,9821
8,6323,-8969,9905,-430588,9563,9814,9906
9,9863,3859,-100514,9886,-980662,9899,9753
10,9959,9005,-30114,9821,9091,9901,9940
11,9978,9510,9811,9839,-322778,9841,9860
12,-38,9948,-90803,9887,-2161498,9632,9892
13,-22,9976,9904,9917,-1942206,9924,9918
14,9974,9973,9812,9824,9616,9568,9859
15,9981,9979,9939,-130257,-1122206,9635,9906
16,9977,-32,9939,-40129,-140399,9894,9910
17,9972,-25,9837,-70060,-30546,9272,9887
18,9974,-10026,9529,-130184,-1150326,9802,-440504
19,9978,9966,9846,-70098,-1620502,9868,9619
20,9967,9963,-130248,9956,-4081944,9892,9938
21,9960,9968,9899,-90264,-2992539,9934,-90104
22,9964,9964,9926,9863,-320649,9936,9857
23,9965,9965,-100100,-150170,-3131265,9945,9960
24,9964,9966,-40047,9942,8038,9963,9958
25,9971,9967,9937,9927,-471187,9953,9912
26,9966,9954,9929,-130261,-6603143,9954,9682
27,9970,9963,9963,-30084,-6232944,9864,9945
28,9965,9959,-10068,9951,-420321,9844,9959
29,9960,9960,9966,9815,-1142,9947,9814
30,9966,9969,9868,-30127,9719,9922,9937
31,9966,9958,9956,9920,-217,9924,9971
32,9960,9968,9924,-240095,-150750,9902,9906
33,9962,9969,9949,9835,-610642,9967,9963
34,9951,9951,9938,-173,-2982297,9955,9919
35,9966,9963,9963,-240163,-60095,9966,9958
36,9961,9956,-250123,9865,-1651174,9929,9853
37,9963,9962,9961,-100085,9448,9964,-170610
38,9964,9962,9953,-180250,-951152,9963,9891
39,9959,9961,9957,-40104,-1360407,9954,9966
40,9957,9962,-40308,9812,-522800,9958,9924
41,9966,9959,-840757,9946,-181107,9937,9962
42,9966,9963,9709,9852,-1292168,9957,9754
43,9969,9971,9961,9923,-3144194,-141337,9964
44,9960,9958,-30084,9889,-2172298,9962,9912
45,9962,9952,9810,-60112,-3471372,9955,-190136
46,9969,9969,9943,9920,-1070544,9955,9905
47,9959,9964,9942,-30063,-300299,9906,9939
48,9955,9961,9916,-10062,-820878,-120127,9965
49,9957,9960,9946,-50064,-462012,9931,9964
50,9964,9958,9955,-10094,-1360816,9953,9928
51,9963,9968,9968,-90171,-630923,9965,9941
52,9969,9965,-20095,-20123,-2241096,9964,9893
53,9964,9962,9950,-10077,-850287,9964,9934
54,9962,9961,9933,-150089,-230700,9956,9819
55,9964,9969,9943,9966,-270616,9839,9960
56,9968,9963,9952,-120128,-40567,9963,9910
57,9966,9966,9881,9935,-1010794,9962,9962
58,9963,9962,9948,9940,-1020798,9928,9916
59,9964,9965,9958,-69,-1452262,9954,9902
60,9963,9968,9944,9939,-1462867,9926,9804
61,9963,9969,-30174,-1110539,-4863430,9960,9954
62,9967,9964,9896,-20051,-160602,9964,9870
63,9966,9966,9915,-10198,-60588,9952,9919
64,9967,9963,9936,9953,9269,9955,9967
65,9965,9959,9934,-40063,-271861,9960,9957
66,9964,9961,9942,9892,-650950,9903,9945
67,9958,9958,9902,9975,-2472854,9947,9888
68,9962,9964,-70083,-50109,-1662297,9939,9964
69,9960,9958,-30830,9942,-1930711,9968,9952
70,9966,9966,9934,-30075,9731,9963,9897
71,9966,9952,9956,-10058,-611909,9957,9944
72,9965,9966,-50278,9812,-1180556,9912,9919
73,9961,9962,9943,-280243,9304,9535,9952
74,9962,9960,-10108,-140188,-241311,9960,9952
75,9962,9963,9920,9829,-2543141,9966,9959
76,9967,9956,9956,-20109,-3932027,9955,9968
77,9960,9956,9930,-10171,-11750,9937,9883
78,9961,9954,9933,-290466,-580733,9966,9903
79,9969,9965,-300137,-260346,8982,9927,9904
80,9956,9966,9962,-160225,-450947,9919,9882
81,9958,9968,9968,9907,-1224722,9916,9933
82,9963,9966,9951,9736,-931577,9935,9898
83,9958,9964,9953,-40028,-200131,9965,9924
84,9963,9964,9926,-95,-1291246,9961,9917
85,9962,9972,9942,-90086,9455,9965,9962
86,9965,9961,9951,-50091,-800575,9968,9708
87,9962,9964,9927,-10111,-1761037,9945,9967
88,9965,9966,9933,-80074,-290357,9930,9931
89,9965,9968,9938,-22,-1241057,9759,9915
90,9963,9961,9961,9868,-740348,9953,9914
91,9958,9969,9962,-154,-260106,9914,9941
92,9971,9961,9944,-110148,-1510437,9940,9932
93,9947,9963,9948,9957,-1030622,9892,9949
94,9965,9963,9960,-170303,-3682499,9908,9953
95,9963,9968,-130111,-10087,-1041232,9881,9946
96,9965,9966,9951,-20049,-91089,9633,9933
97,9960,9957,9973,-115,-1630784,9935,9812
98,9961,9966,9945,-190068,-150083,9965,9904
99,9965,9960,9947,-50055,-230368,9966,9957
100,9962,9966,-80862,9854,-1290791,9931,9948
