Iterations,Value Iteration,Policy Iteration,Q Learning
1,24,4,10
2,10,2,14
3,6,3,23
4,4,3,33
5,5,4,50
6,5,5,55
7,5,5,63
8,4,6,73
9,4,7,87
10,4,8,98
11,4,8,114
12,5,9,129
13,7,10,150
14,9,11,165
15,9,11,175
16,10,12,189
17,10,14,203
18,10,13,216
19,15,14,228
20,13,15,240
21,9,16,253
22,9,16,269
23,10,17,287
24,13,17,305
25,11,19,315
26,12,19,332
27,17,20,349
28,18,21,365
29,12,21,384
30,14,22,401
31,18,22,418
32,15,23,434
33,13,25,451
34,14,25,468
35,14,25,494
36,15,26,512
37,14,27,531
38,15,27,550
39,15,29,573
40,18,35,640
41,21,30,666
42,22,31,702
43,23,31,719
44,23,32,742
45,24,33,758
46,26,33,780
47,22,36,802
48,18,35,819
49,19,35,838
50,19,36,875
51,19,37,924
52,22,38,943
53,25,38,960
54,21,39,1022
55,23,40,1046
56,28,40,1122
57,23,41,1143
58,21,44,1170
59,25,43,1193
60,22,44,1213
61,22,44,1242
62,23,45,1266
63,23,46,1284
64,23,46,1307
65,24,47,1335
66,24,47,1358
67,25,50,1384
68,26,49,1408
69,36,50,1456
70,36,50,1479
71,37,51,1513
72,38,51,1576
73,39,52,1644
74,32,54,1663
75,28,55,1689
76,28,55,1710
77,28,55,1740
78,29,56,1769
79,29,57,1792
80,30,57,1829
81,30,58,1906
82,31,59,1926
83,32,61,1955
84,31,61,1979
85,33,62,2020
86,35,62,2043
87,33,63,2081
88,34,64,2115
89,33,67,2147
90,33,67,2177
91,33,65,2212
92,34,65,2238
93,34,66,2300
94,35,67,2339
95,36,68,2360
96,35,71,2437
97,40,70,2464
98,52,71,2519
99,53,75,2595
100,52,72,2671
